CloneGroupType,X2,EachGroup_25Percentile,CloneGroupMax,CloneGroupMin,EachGroup_Mean,EachGroup_Median,CloneGroupVariance,EachGroup_SD,X10,ShanonEntropy,NorShanonEntropy,X13,X14
638,Functions,2.50,6.00,1.00,3.75,4.00,4.92,2.217356,4,2,0.890968531773352,NA,NA
639,Functions,3.00,29.00,1.00,6.89,5.00,71.86,8.477093,9,2.4193819456463714,0.7920985378982802,NA,NA
640,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
641,Functions,1.00,3.00,0.00,1.67,2.00,2.33,1.527525,3,1.584962500721156,NaN,NA,NA
642,Functions,1.50,8.00,1.00,3.67,2.00,14.33,3.785939,3,1.584962500721156,0.6913698302025114,NA,NA
643,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
644,Functions,7.00,28.00,0.00,14.00,14.00,392.00,19.79899,2,1,NaN,NA,NA
645,Functions,1.50,2.00,1.00,1.67,2.00,0.33,0.5773503,3,0.9182958340544896,0.9602297178607612,NA,NA
646,Functions,1.75,14.00,1.00,4.75,2.00,38.25,6.184658,4,1.5,0.6159908907005702,NA,NA
647,Functions,2.25,6.00,1.00,3.50,3.50,12.50,3.535534,2,1,0.5916727785823275,NA,NA
648,Functions,1.00,13.00,0.00,5.60,1.00,45.80,6.76757,5,1.5219280948873621,NaN,NA,NA
649,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
650,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
651,Functions,1.50,2.00,1.00,1.67,2.00,0.33,0.5773503,3,0.9182958340544896,0.9602297178607612,NA,NA
652,Functions,2.50,7.00,1.00,4.00,4.00,18.00,4.242641,2,1,0.5435644431995964,NA,NA
653,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
654,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
655,Functions,0.75,3.00,0.00,1.50,1.50,4.50,2.12132,2,1,NaN,NA,NA
656,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,8,-0,NaN,NA,NA
657,Functions,1.75,4.00,1.00,2.50,2.50,4.50,2.12132,2,1,0.7219280948873623,NA,NA
658,Functions,3.25,6.00,1.00,3.75,4.00,4.25,2.061553,4,1.5,0.9031194643266947,NA,NA
659,Functions,3.00,3.00,3.00,3.00,3.00,0.00,0,2,-0,1,NA,NA
660,Functions,3.00,3.00,3.00,3.00,3.00,0.00,0,2,-0,1,NA,NA
661,Functions,3.00,3.00,3.00,3.00,3.00,0.00,0,2,-0,1,NA,NA
662,Functions,17.25,24.00,15.00,19.50,19.50,40.50,6.363961,2,1,0.9612366047228759,NA,NA
663,Functions,6.00,15.00,3.00,9.00,9.00,72.00,8.485281,2,1,0.6500224216483541,NA,NA
664,Functions,1.50,6.00,0.00,3.00,3.00,18.00,4.242641,2,1,NaN,NA,NA
665,Functions,2.75,8.00,1.00,4.50,4.50,24.50,4.949747,2,1,0.5032583347756457,NA,NA
666,Functions,4.25,8.00,3.00,5.50,5.50,12.50,3.535534,2,1,0.8453509366224364,NA,NA
667,Functions,4.25,8.00,3.00,5.50,5.50,12.50,3.535534,2,1,0.8453509366224364,NA,NA
668,Functions,0.75,13.00,0.00,4.00,1.50,36.67,6.055301,4,2,NaN,NA,NA
669,Functions,3.50,6.00,3.00,4.33,4.00,2.33,1.527525,3,1.584962500721156,0.9629470156266078,NA,NA
670,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,3,-0,1,NA,NA
671,Functions,6.00,8.00,5.00,6.67,7.00,2.33,1.527525,3,1.584962500721156,0.9835386311891134,NA,NA
672,Functions,4.50,6.00,4.00,5.00,5.00,2.00,1.414214,2,1,0.9709505944546686,NA,NA
673,Functions,4.50,6.00,4.00,5.00,5.00,2.00,1.414214,2,1,0.9709505944546686,NA,NA
674,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
675,Functions,5.00,5.00,5.00,5.00,5.00,0.00,0,2,-0,1,NA,NA
676,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
677,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
678,Functions,4.25,8.00,3.00,5.50,5.50,12.50,3.535534,2,1,0.8453509366224364,NA,NA
679,Functions,0.00,17.00,-1.00,3.07,3.00,19.07,4.366539,15,2.8402239289418523,NaN,NA,NA
680,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
681,Functions,0.00,2.00,0.00,0.62,0.00,0.84,0.9161254,8,1.2987949406953985,NaN,NA,NA
682,Functions,1.00,4.00,1.00,2.00,1.00,3.00,1.732051,3,0.9182958340544896,0.7896900821428475,NA,NA
683,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
684,Functions,3.50,14.00,0.00,7.00,7.00,98.00,9.899495,2,1,NaN,NA,NA
685,Functions,3.50,14.00,0.00,7.00,7.00,98.00,9.899495,2,1,NaN,NA,NA
686,Functions,3.50,14.00,0.00,7.00,7.00,98.00,9.899495,2,1,NaN,NA,NA
687,Functions,3.50,5.00,3.00,4.00,4.00,2.00,1.414214,2,1,0.954434002924965,NA,NA
688,Functions,1.75,4.00,1.00,2.25,2.00,1.58,1.258306,4,1.5,0.9182958340544896,NA,NA
689,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
690,Functions,1.75,7.00,0.00,3.50,3.50,24.50,4.949747,2,1,NaN,NA,NA
691,Functions,3.50,11.00,1.00,6.00,6.00,50.00,7.071068,2,1,0.41381685030363374,NA,NA
692,Functions,5.00,11.00,3.00,7.00,7.00,32.00,5.656854,2,1,0.74959525725948,NA,NA
693,Functions,3.50,8.00,2.00,5.00,5.00,18.00,4.242641,2,1,0.7219280948873623,NA,NA
694,Functions,1.00,10.00,0.00,4.20,2.00,20.20,4.494441,5,2.321928094887362,NaN,NA,NA
695,Functions,1.00,8.00,0.00,2.90,2.50,6.10,2.469818,10,2.4464393446710155,NaN,NA,NA
696,Functions,2.00,18.00,2.00,7.33,2.00,85.33,9.237604,3,0.9182958340544896,0.5462947022805018,NA,NA
697,Functions,3.00,12.00,0.00,6.00,6.00,72.00,8.485281,2,1,NaN,NA,NA
698,Functions,4.75,16.00,1.00,8.50,8.50,112.50,10.6066,2,1,0.3227569588973982,NA,NA
699,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
700,Functions,4.75,19.00,0.00,9.50,9.50,180.50,13.43503,2,1,NaN,NA,NA
701,Functions,4.75,19.00,0.00,9.50,9.50,180.50,13.43503,2,1,NaN,NA,NA
702,Functions,4.75,19.00,0.00,9.50,9.50,180.50,13.43503,2,1,NaN,NA,NA
703,Functions,4.75,19.00,0.00,9.50,9.50,180.50,13.43503,2,1,NaN,NA,NA
704,Functions,4.75,19.00,0.00,9.50,9.50,180.50,13.43503,2,1,NaN,NA,NA
705,Functions,4.75,19.00,0.00,9.50,9.50,180.50,13.43503,2,1,NaN,NA,NA
706,Functions,3.50,7.00,2.00,4.75,5.00,4.92,2.217356,4,2,0.9355095604394199,NA,NA
707,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
708,Functions,3.25,10.00,1.00,5.50,5.50,40.50,6.363961,2,1,0.4394969869215134,NA,NA
709,Functions,1.00,57.00,0.00,19.67,2.00,1046.33,32.34708,3,1.584962500721156,NaN,NA,NA
710,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
711,Functions,3.00,3.00,3.00,3.00,3.00,0.00,0,2,-0,1,NA,NA
712,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
713,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
714,Functions,0.75,6.00,0.00,2.50,2.00,7.00,2.645751,4,2,NaN,NA,NA
715,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
716,Functions,2.00,12.00,1.00,3.50,2.00,17.50,4.1833,6,1.2516291673878228,0.7593205088533012,NA,NA
717,Functions,3.50,8.00,2.00,5.00,5.00,18.00,4.242641,2,1,0.7219280948873623,NA,NA
718,Functions,0.50,1.00,0.00,0.67,1.00,0.33,0.5773503,3,0.9182958340544896,NaN,NA,NA
719,Functions,19.00,49.00,4.00,29.00,34.00,525.00,22.91288,3,1.584962500721156,0.7574171376813773,NA,NA
720,Functions,27.00,36.00,24.00,30.00,30.00,72.00,8.485281,2,1,0.9709505944546686,NA,NA
721,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
722,Functions,3.50,14.00,0.00,7.00,7.00,98.00,9.899495,2,1,NaN,NA,NA
723,Functions,1.50,24.00,1.00,5.43,2.00,68.95,8.303757,7,2.2359263506290326,0.6469624051739338,NA,NA
724,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
725,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
726,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
727,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
728,Functions,1.00,2.00,1.00,1.33,1.00,0.33,0.5773503,3,0.9182958340544896,0.9463946303571862,NA,NA
729,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
730,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
731,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
732,Functions,0.50,2.00,0.00,1.00,1.00,1.00,1,3,1.584962500721156,NaN,NA,NA
733,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
734,Functions,9.75,39.00,0.00,19.50,19.50,760.50,27.57716,2,1,NaN,NA,NA
735,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
736,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
737,Functions,0.00,59.00,0.00,12.20,1.00,684.70,26.16677,5,1.5219280948873621,NaN,NA,NA
738,Functions,1.50,14.00,1.00,3.71,2.00,21.24,4.608481,7,1.9502120649147467,0.7589773496980986,NA,NA
739,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
740,Functions,12.00,18.00,10.00,14.00,14.00,32.00,5.656854,2,1,0.9402859586706311,NA,NA
741,Functions,1.00,25.00,0.00,5.06,2.50,53.93,7.343648,16,3.0306390622295662,NaN,NA,NA
742,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
743,Functions,1.75,4.00,1.00,2.50,2.50,4.50,2.12132,2,1,0.7219280948873623,NA,NA
744,Functions,2.75,5.00,2.00,3.50,3.50,4.50,2.12132,2,1,0.863120568566631,NA,NA
745,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
746,Functions,2.00,3.00,2.00,2.50,2.50,0.33,0.5773503,4,1,0.9854752972273343,NA,NA
747,Functions,3.50,5.00,3.00,4.00,4.00,2.00,1.414214,2,1,0.954434002924965,NA,NA
748,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
749,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
750,Functions,1.25,5.00,0.00,2.50,2.50,12.50,3.535534,2,1,NaN,NA,NA
751,Functions,3.75,6.00,3.00,4.50,4.50,4.50,2.12132,2,1,0.9182958340544896,NA,NA
752,Functions,2.25,6.00,1.00,3.50,3.50,12.50,3.535534,2,1,0.5916727785823275,NA,NA
753,Functions,8.00,8.00,8.00,8.00,8.00,0.00,0,2,-0,1,NA,NA
754,Functions,3.25,10.00,1.00,5.50,5.50,40.50,6.363961,2,1,0.4394969869215134,NA,NA
755,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
756,Functions,2.00,5.00,1.00,3.00,3.00,4.00,2,3,1.584962500721156,0.8527924884900406,NA,NA
757,Functions,1.00,22.00,0.00,5.78,1.00,84.94,9.216531,9,1.8365916681089791,NaN,NA,NA
758,Functions,2.00,26.00,1.00,7.60,3.00,109.30,10.45466,5,2.321928094887362,0.6227260060029286,NA,NA
759,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
760,Functions,3.25,7.00,2.00,4.50,4.50,12.50,3.535534,2,1,0.7642045065086203,NA,NA
761,Functions,3.50,5.00,3.00,4.00,4.00,2.00,1.414214,2,1,0.954434002924965,NA,NA
762,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
763,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
764,Functions,17.50,58.00,4.00,31.00,31.00,1458.00,38.18377,2,1,0.345117314944953,NA,NA
765,Functions,6.00,6.00,6.00,6.00,6.00,0.00,0,2,-0,1,NA,NA
766,Functions,41.00,41.00,41.00,41.00,41.00,0.00,0,3,-0,1,NA,NA
767,Functions,0.00,4.00,0.00,1.33,0.00,5.33,2.309401,3,0.9182958340544896,NaN,NA,NA
768,Functions,0.00,4.00,0.00,1.33,0.00,5.33,2.309401,3,0.9182958340544896,NaN,NA,NA
769,Functions,0.00,4.00,0.00,1.33,0.00,5.33,2.309401,3,0.9182958340544896,NaN,NA,NA
770,Functions,0.75,23.00,0.00,2.56,1.00,31.20,5.585323,16,1.9746017527145814,NaN,NA,NA
771,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,4,-0,NaN,NA,NA
772,Functions,1.00,143.00,0.00,8.77,2.00,767.14,27.69738,26,2.946222776816599,NaN,NA,NA
773,Functions,2.25,6.00,1.00,3.50,3.50,12.50,3.535534,2,1,0.5916727785823275,NA,NA
774,Functions,0.00,38.00,0.00,5.25,1.00,175.36,13.24225,8,1.4056390622295665,NaN,NA,NA
775,Functions,2.25,9.00,0.00,4.50,4.50,40.50,6.363961,2,1,NaN,NA,NA
776,Functions,3.00,3.00,3.00,3.00,3.00,0.00,0,2,-0,1,NA,NA
777,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
778,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,3,-0,NaN,NA,NA
779,Functions,2.75,11.00,0.00,5.50,5.50,60.50,7.778175,2,1,NaN,NA,NA
780,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
781,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
782,Functions,7.00,25.00,1.00,13.00,13.00,288.00,16.97056,2,1,0.23519338181924143,NA,NA
783,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
784,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
785,Functions,1.50,2.00,1.00,1.67,2.00,0.33,0.5773503,3,0.9182958340544896,0.9602297178607612,NA,NA
786,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
787,Functions,2.50,4.00,2.00,3.00,3.00,2.00,1.414214,2,1,0.9182958340544896,NA,NA
788,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
789,Functions,2.50,4.00,2.00,3.00,3.00,2.00,1.414214,2,1,0.9182958340544896,NA,NA
790,Functions,5.25,9.00,4.00,6.50,6.50,12.50,3.535534,2,1,0.8904916402194913,NA,NA
791,Functions,0.75,3.00,0.00,1.50,1.50,1.67,1.290994,4,2,NaN,NA,NA
792,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
793,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
794,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
795,Functions,0.50,3.00,0.00,1.33,1.00,2.33,1.527525,3,1.584962500721156,NaN,NA,NA
796,Functions,1.00,3.00,1.00,1.50,1.00,1.00,1,4,0.8112781244591328,0.896240625180289,NA,NA
797,Functions,5.25,12.00,3.00,7.50,7.50,40.50,6.363961,2,1,0.7219280948873623,NA,NA
798,Functions,1.00,3.00,1.00,1.67,1.00,1.33,1.154701,3,0.9182958340544896,0.8649735207179273,NA,NA
799,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
800,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
801,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
802,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
803,Functions,2.50,10.00,0.00,5.00,5.00,50.00,7.071068,2,1,NaN,NA,NA
804,Functions,2.50,4.00,1.00,3.00,4.00,3.00,1.732051,3,0.9182958340544896,0.8783471047618534,NA,NA
805,Functions,1.25,13.00,1.00,5.00,2.50,26.80,5.176872,6,2.2516291673878226,0.7624460453473888,NA,NA
806,Functions,0.50,4.00,0.00,1.67,1.00,4.33,2.081666,3,1.584962500721156,NaN,NA,NA
807,Functions,1.00,2.00,1.00,1.33,1.00,0.33,0.5773503,3,0.9182958340544896,0.9463946303571862,NA,NA
808,Functions,2.50,6.00,1.00,3.50,3.50,4.33,2.081666,4,2,0.8942252286541448,NA,NA
809,Functions,0.00,2.00,0.00,0.75,0.50,0.92,0.9574271,4,1.5,NaN,NA,NA
810,Functions,0.00,1.00,0.00,0.20,0.00,0.20,0.4472136,5,0.7219280948873623,NaN,NA,NA
811,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
812,Functions,1.50,4.00,1.00,2.33,2.00,2.33,1.527525,3,1.584962500721156,0.8699155297736259,NA,NA
813,Functions,2.50,4.00,2.00,3.00,3.00,2.00,1.414214,2,1,0.9182958340544896,NA,NA
814,Functions,2.50,4.00,2.00,3.00,3.00,2.00,1.414214,2,1,0.9182958340544896,NA,NA
815,Functions,2.25,6.00,1.00,3.50,3.50,12.50,3.535534,2,1,0.5916727785823275,NA,NA
816,Functions,3.00,3.00,3.00,3.00,3.00,0.00,0,2,-0,1,NA,NA
817,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
818,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
819,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
820,Functions,2.00,13.00,2.00,5.00,2.50,28.67,5.354126,4,1.5,0.7394489514937395,NA,NA
821,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
822,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
823,Functions,18.50,71.00,1.00,36.00,36.00,2450.00,49.49747,2,1,0.10559103637519526,NA,NA
824,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
825,Functions,2.50,9.00,1.00,4.50,4.00,11.67,3.41565,4,2,0.8379110287883481,NA,NA
826,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
827,Functions,2.00,3.00,1.00,2.33,3.00,1.33,1.154701,3,0.9182958340544896,0.9141008920185653,NA,NA
828,Functions,0.00,2.00,0.00,1.20,2.00,1.20,1.095445,5,0.9709505944546686,NaN,NA,NA
829,Functions,3.75,6.00,3.00,4.50,4.50,4.50,2.12132,2,1,0.9182958340544896,NA,NA
830,Functions,3.75,6.00,3.00,4.50,4.50,4.50,2.12132,2,1,0.9182958340544896,NA,NA
831,Functions,5.50,7.00,5.00,6.00,6.00,2.00,1.414214,2,1,0.9798687566511528,NA,NA
832,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
833,Functions,1.50,3.00,0.00,2.00,3.00,3.00,1.732051,3,0.9182958340544896,NaN,NA,NA
834,Functions,0.75,3.00,0.00,1.50,1.50,4.50,2.12132,2,1,NaN,NA,NA
835,Functions,5.00,5.00,5.00,5.00,5.00,0.00,0,2,-0,1,NA,NA
836,Functions,1.25,7.00,0.00,2.90,3.00,4.32,2.078995,10,2.6464393446710157,NaN,NA,NA
837,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
838,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
839,Functions,3.50,5.00,3.00,4.00,4.00,2.00,1.414214,2,1,0.954434002924965,NA,NA
840,Functions,3.50,5.00,3.00,4.00,4.00,2.00,1.414214,2,1,0.954434002924965,NA,NA
841,Functions,3.50,5.00,3.00,4.00,4.00,2.00,1.414214,2,1,0.954434002924965,NA,NA
842,Functions,1.00,72.00,0.00,21.80,2.00,992.20,31.49921,5,2.321928094887362,NaN,NA,NA
843,Functions,0.50,1.00,0.00,0.67,1.00,0.33,0.5773503,3,0.9182958340544896,NaN,NA,NA
844,Functions,8.00,8.00,8.00,8.00,8.00,0.00,0,5,-0,1,NA,NA
845,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
846,Functions,1.50,2.00,1.00,1.67,2.00,0.33,0.5773503,3,0.9182958340544896,0.9602297178607612,NA,NA
847,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
848,Functions,4.50,6.00,4.00,5.00,5.00,2.00,1.414214,2,1,0.9709505944546686,NA,NA
849,Functions,4.50,6.00,4.00,5.00,5.00,2.00,1.414214,2,1,0.9709505944546686,NA,NA
850,Functions,0.75,3.00,0.00,1.25,1.00,1.58,1.258306,4,1.5,NaN,NA,NA
851,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
852,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
853,Functions,0.00,2.00,0.00,0.67,0.00,1.33,1.154701,3,0.9182958340544896,NaN,NA,NA
854,Functions,5.25,6.00,5.00,5.50,5.50,0.50,0.7071068,2,1,0.9940302114769565,NA,NA
855,Functions,6.25,7.00,6.00,6.50,6.50,0.50,0.7071068,2,1,0.9957274520849255,NA,NA
856,Functions,6.00,6.00,6.00,6.00,6.00,0.00,0,2,-0,1,NA,NA
857,Functions,3.75,13.00,0.00,5.75,5.00,28.92,5.377422,4,1.5,NaN,NA,NA
858,Functions,3.00,13.00,0.00,5.20,5.00,23.20,4.816638,5,1.9219280948873623,NaN,NA,NA
859,Functions,3.75,13.00,0.00,5.75,5.00,28.92,5.377422,4,1.5,NaN,NA,NA
860,Functions,7.00,7.00,7.00,7.00,7.00,0.00,0,2,-0,1,NA,NA
861,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
862,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
863,Functions,1.00,4.00,0.00,2.00,2.00,8.00,2.828427,2,1,NaN,NA,NA
864,Functions,2.50,4.00,2.00,3.00,3.00,2.00,1.414214,2,1,0.9182958340544896,NA,NA
865,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
866,Functions,0.50,1.00,0.00,0.67,1.00,0.33,0.5773503,3,0.9182958340544896,NaN,NA,NA
867,Functions,1.50,7.00,0.00,3.00,2.50,8.67,2.94392,4,2,NaN,NA,NA
868,Functions,1.00,5.00,1.00,3.00,3.00,5.33,2.309401,4,1,0.825011210824177,NA,NA
869,Functions,0.50,1.00,0.00,0.67,1.00,0.33,0.5773503,3,0.9182958340544896,NaN,NA,NA
870,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
871,Functions,11.00,11.00,11.00,11.00,11.00,0.00,0,2,-0,1,NA,NA
872,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
873,Functions,0.75,7.00,0.00,3.25,3.00,10.92,3.304038,4,2,NaN,NA,NA
874,Functions,1.75,4.00,1.00,2.50,2.50,4.50,2.12132,2,1,0.7219280948873623,NA,NA
875,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
876,Functions,4.75,16.00,1.00,8.50,8.50,112.50,10.6066,2,1,0.3227569588973982,NA,NA
877,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
878,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
879,Functions,0.75,6.00,-1.00,2.50,2.50,24.50,4.949747,2,1,NaN,NA,NA
880,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
881,Functions,3.50,7.00,3.00,4.67,4.00,4.33,2.081666,3,1.584962500721156,0.9417346261113358,NA,NA
882,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
883,Functions,1.50,3.00,1.00,2.00,2.00,1.00,1,3,1.584962500721156,0.9206198357143051,NA,NA
884,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
885,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
886,Functions,0.00,4.00,0.00,1.29,1.00,2.24,1.496026,7,1.8423709931771084,NaN,NA,NA
887,Functions,3.00,11.00,1.00,5.40,5.00,14.80,3.847077,5,2.321928094887362,0.8663330502813675,NA,NA
888,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
889,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
890,Functions,0.75,3.00,0.00,1.50,1.50,4.50,2.12132,2,1,NaN,NA,NA
891,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
892,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
893,Functions,3.00,3.00,3.00,3.00,3.00,0.00,0,2,-0,1,NA,NA
894,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
895,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
896,Functions,2.50,7.00,2.00,4.00,3.00,7.00,2.645751,3,1.584962500721156,0.8734790278701756,NA,NA
897,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
898,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
899,Functions,2.00,3.00,2.00,2.33,2.00,0.33,0.5773503,3,0.9182958340544896,0.9821410328348752,NA,NA
900,Functions,2.00,3.00,2.00,2.33,2.00,0.33,0.5773503,3,0.9182958340544896,0.9821410328348752,NA,NA
901,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
902,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
