CloneGroupType,X2,EachGroup_25Percentile,CloneGroupMax,CloneGroupMin,EachGroup_Mean,EachGroup_Median,CloneGroupVariance,EachGroup_SD,X10,ShanonEntropy,NorShanonEntropy,X13,X14
2140,Functions,2.75,8.00,1.00,4.50,4.50,24.50,4.949747,2,1,0.5032583347756457,NA,NA
2141,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
2142,Functions,5.00,5.00,5.00,5.00,5.00,0.00,0,3,-0,1,NA,NA
2143,Functions,0.75,3.00,0.00,1.50,1.50,4.50,2.12132,2,1,NaN,NA,NA
2144,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
2145,Functions,8.00,8.00,8.00,8.00,8.00,0.00,0,2,-0,1,NA,NA
2146,Functions,2.00,9.00,1.00,4.33,3.00,17.33,4.163332,3,1.584962500721156,0.7193329040881774,NA,NA
2147,Functions,14.75,23.00,12.00,17.50,17.50,60.50,7.778175,2,1,0.9275265884316759,NA,NA
2148,Functions,4.25,17.00,0.00,8.50,8.50,144.50,12.02082,2,1,NaN,NA,NA
2149,Functions,1.50,3.00,1.00,2.00,2.00,1.00,1,3,1.584962500721156,0.9206198357143051,NA,NA
2150,Functions,4.00,13.00,1.00,7.00,7.00,72.00,8.485281,2,1,0.37123232664087563,NA,NA
2151,Functions,14.00,14.00,14.00,14.00,14.00,0.00,0,2,-0,1,NA,NA
2152,Functions,14.00,14.00,14.00,14.00,14.00,0.00,0,2,-0,1,NA,NA
2153,Functions,62.00,62.00,62.00,62.00,62.00,0.00,0,2,-0,1,NA,NA
2154,Functions,46.00,46.00,46.00,46.00,46.00,0.00,0,2,-0,1,NA,NA
2155,Functions,1.75,4.00,1.00,2.50,2.50,4.50,2.12132,2,1,0.7219280948873623,NA,NA
2156,Functions,20.00,68.00,4.00,36.00,36.00,2048.00,45.25483,2,1,0.3095434291503252,NA,NA
2157,Functions,2.50,4.00,1.00,3.00,4.00,3.00,1.732051,3,0.9182958340544896,0.8783471047618534,NA,NA
2158,Functions,1.50,16.00,0.00,6.33,3.00,72.33,8.504901,3,1.584962500721156,NaN,NA,NA
2159,Functions,22.75,82.00,3.00,42.50,42.50,3120.50,55.86144,2,1,0.22028326695127431,NA,NA
2160,Functions,6.00,6.00,6.00,6.00,6.00,0.00,0,2,-0,1,NA,NA
2161,Functions,1.50,13.00,1.00,5.33,2.00,44.33,6.658328,3,1.584962500721156,0.5478948105177535,NA,NA
2162,Functions,3.50,5.00,3.00,4.00,4.00,2.00,1.414214,2,1,0.954434002924965,NA,NA
2163,Functions,29.00,29.00,29.00,29.00,29.00,0.00,0,5,-0,1,NA,NA
2164,Functions,8.00,32.00,0.00,16.00,16.00,512.00,22.62742,2,1,NaN,NA,NA
2165,Functions,5.00,5.00,5.00,5.00,5.00,0.00,0,2,-0,1,NA,NA
2166,Functions,8.50,34.00,0.00,17.00,17.00,578.00,24.04163,2,1,NaN,NA,NA
2167,Functions,5.00,11.00,3.00,7.00,7.00,32.00,5.656854,2,1,0.74959525725948,NA,NA
2168,Functions,11.00,11.00,11.00,11.00,11.00,0.00,0,2,-0,1,NA,NA
2169,Functions,6.50,23.00,1.00,12.00,12.00,242.00,15.55635,2,1,0.24988229283318544,NA,NA
2170,Functions,10.00,16.00,8.00,12.00,12.00,32.00,5.656854,2,1,0.9182958340544896,NA,NA
