X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
290,Functions,1,1,1,1,1,0,0,4
291,Functions,3,3,3,3,3,0,0,2
292,Functions,3,3,3,3,3,0,0,2
293,Functions,0,0,3,0.75,0,2.25,1.5,4
294,Functions,0,0,1,0.5,0.5,0.3333333,0.5773503,4
295,Functions,0,0,1,0.2,0,0.2,0.4472136,5
296,Functions,0,-3,12,0.9411765,0,7.572193,2.751762,34
297,Functions,1,1,1,1,1,0,0,2
298,Functions,0,0,2,1,1,1.333333,1.154701,4
299,Functions,1,1,1,1,1,0,0,2
300,Functions,0,0,4,1.222222,1,2.694444,1.641476,9
301,Functions,1,1,1,1,1,0,0,2
302,Functions,-1.5,-3,1,-0.75,-0.5,2.916667,1.707825,4
303,Functions,0,-2,14,1.666667,1,22.5,4.743416,9
304,Functions,0,0,0,0,0,0,0,2
305,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
306,Functions,0.5,0,1,0.6666667,1,0.3333333,0.5773503,3
307,Functions,0,0,0,0,0,0,0,2
308,Functions,0,-2,6,0.9444444,0.5,3.702614,1.924218,18
309,Functions,0.75,0,3,1.5,1.5,4.5,2.12132,2
310,Functions,0,0,1,0.3333333,0,0.3333333,0.5773503,3
311,Functions,-1.5,-2,0,-1,-1,2,1.414214,2
312,Functions,2.5,1,4,2.75,3,1.583333,1.258306,4
313,Functions,0.5,0,2,1,1,2,1.414214,2
314,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
315,Functions,0,0,0,0,0,0,0,2
316,Functions,1,0,3,1.666667,2,2.333333,1.527525,3
317,Functions,1,0,2,1.333333,2,1.333333,1.154701,3
318,Functions,-1.5,-2,0,-1,-1,2,1.414214,2
319,Functions,0,0,0,0,0,0,0,2
320,Functions,1.5,1,3,2,2,2,1.414214,2
321,Functions,0.75,0,28,8,2,179.3333,13.39154,4
322,Functions,4,4,4,4,4,0,0,2
323,Functions,4,4,4,4,4,0,0,2
324,Functions,-0.5,-1,1,0,0,1,1,3
325,Functions,-1,-1,-1,-1,-1,0,0,2
326,Functions,-1,-2,2,-0.0952381,0,1.090476,1.044259,21
327,Functions,3,3,3,3,3,0,0,2
328,Functions,0,0,6,1.222222,0,3.944444,1.986063,9
329,Functions,1.5,1,3,2,2,1,1,3
330,Functions,0,0,1,0.5,0.5,0.3333333,0.5773503,4
331,Functions,0,-4,2,0.05555556,0,1.025397,1.012619,36
332,Functions,0,0,0,0,0,0,0,2
333,Functions,0,0,3,0.8,0,1.7,1.30384,5
334,Functions,0,0,0,0,0,0,0,2
335,Functions,0,0,0,0,0,0,0,2
336,Functions,1,0,4,2,2,8,2.828427,2
337,Functions,2,2,2,2,2,0,0,2
338,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
339,Functions,0,0,0,0,0,0,0,3
340,Functions,0,0,2,0.5,0,1,1,4
341,Functions,1.5,1,3,2,2,2,1.414214,2
342,Functions,3,3,4,3.333333,3,0.3333333,0.5773503,3
343,Functions,3,3,4,3.333333,3,0.3333333,0.5773503,3
344,Functions,2,2,2,2,2,0,0,2
345,Functions,0,0,0,0,0,0,0,2
346,Functions,-0.75,-1,0,-0.5,-0.5,0.5,0.7071068,2
347,Functions,0,-1,2,0,0,0.75,0.8660254,9
348,Functions,1.25,1,2,1.5,1.5,0.5,0.7071068,2
349,Functions,1,0,2,1.2,1,0.7,0.83666,5
350,Functions,2,1,5,3,3,8,2.828427,2
351,Functions,-2,-2,2,0,0,4,2,5
352,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
353,Functions,3,3,3,3,3,0,0,2
354,Functions,0,-3,16,1.145455,1,6.830303,2.613485,55
355,Functions,0,0,0,0,0,0,0,3
356,Functions,0,0,0,0,0,0,0,2
357,Functions,1,1,2,1.4,1,0.3,0.5477226,5
358,Functions,0.5,0,2,1,1,2,1.414214,2
359,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
360,Functions,0,0,2,0.8,1,0.7,0.83666,5
361,Functions,0,0,0,0,0,0,0,2
362,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
363,Functions,-4,-8,0,-2.666667,0,21.33333,4.618802,3
364,Functions,-4,-8,0,-2.666667,0,21.33333,4.618802,3
365,Functions,-1,-3,0,-0.8333333,-0.5,1.366667,1.169045,6
366,Functions,0,0,2,0.6666667,0.5,0.6666667,0.8164966,6
367,Functions,1,-1,23,2.372093,1,14.71539,3.836065,43
368,Functions,0.5,0,2,1,1,2,1.414214,2
369,Functions,0,-2,3,0.2222222,0,1.694444,1.301708,9
370,Functions,2,2,2,2,2,0,0,2
371,Functions,0.5,0,1,0.6666667,1,0.3333333,0.5773503,3
372,Functions,0,0,0,0,0,0,0,2
373,Functions,0,0,0,0,0,0,0,2
374,Functions,0.75,0,3,1.5,1.5,4.5,2.12132,2
375,Functions,0.75,0,3,1.5,1.5,4.5,2.12132,2
376,Functions,7.5,0,30,15,15,450,21.2132,2
377,Functions,0,0,1,0.5,0.5,0.3333333,0.5773503,4
378,Functions,-0.5,-1,1,0,0,2,1.414214,2
379,Functions,-2,-2,0,-0.75,0,1.071429,1.035098,8
380,Functions,-1,-2,0,-0.6666667,0,1.333333,1.154701,3
381,Functions,0,0,0,0,0,0,0,2
382,Functions,1.25,1,2,1.5,1.5,0.5,0.7071068,2
383,Functions,0,0,55,7,1,324.75,18.02082,9
384,Functions,0,0,1,0.25,0,0.25,0.5,4
385,Functions,0,-4,123,0.9277286,0,49.03022,7.002158,678
386,Functions,-2.25,-3,0,-1.5,-1.5,4.5,2.12132,2
387,Functions,-0.5,-1,1,0,0,1,1,3
388,Functions,0,0,0,0,0,0,0,2
389,Functions,2,2,2,2,2,0,0,2
390,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
391,Functions,8,8,8,8,8,0,0,2
392,Functions,1,0,4,2,2,8,2.828427,2
393,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
394,Functions,0,0,2,0.5,0,0.4545455,0.6741999,12
395,Functions,0,0,3,0.6,0,0.6857143,0.8280787,15
396,Functions,0,0,7,1.666667,1,5.75,2.397916,9
397,Functions,-1,-1,-1,-1,-1,0,0,2
398,Functions,1,1,1,1,1,0,0,2
399,Functions,0,0,4,1,0,4,2,4
400,Functions,0.5,0,2,1,1,2,1.414214,2
401,Functions,-2.5,-3,0,-1.666667,-2,2.333333,1.527525,3
402,Functions,-0.25,-1,2,0.5,0.5,4.5,2.12132,2
403,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
404,Functions,0,0,1,0.3333333,0,0.3333333,0.5773503,3
405,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
406,Functions,0,0,1,0.3333333,0,0.3333333,0.5773503,3
407,Functions,3,1,9,5,5,32,5.656854,2
408,Functions,1,1,1,1,1,0,0,2
409,Functions,1.5,0,4,2,2,2.666667,1.632993,4
410,Functions,1,1,1,1,1,0,0,2
411,Functions,0.5,0,3,1.333333,1,2.333333,1.527525,3
412,Functions,1.25,0,5,2.5,2.5,12.5,3.535534,2
413,Functions,0,0,0,0,0,0,0,2
414,Functions,1,1,1,1,1,0,0,2
415,Functions,0,-2,4,0.1884058,0,0.9198636,0.9590952,69
416,Functions,0,0,0,0,0,0,0,4
417,Functions,-0.5,-1,1,0,0,1,1,3
418,Functions,0,0,2,0.75,0.5,0.9166667,0.9574271,4
419,Functions,-1,-1,-1,-1,-1,0,0,2
420,Functions,0,-5,26,0.3349282,0,5.906515,2.430332,209
421,Functions,0,0,0,0,0,0,0,3
422,Functions,0,0,0,0,0,0,0,3
423,Functions,0,0,0,0,0,0,0,3
424,Functions,0,0,0,0,0,0,0,3
425,Functions,0,0,0,0,0,0,0,2
426,Functions,0,-2,1,-0.2,0,1.2,1.095445,5
427,Functions,0,0,0,0,0,0,0,3
428,Functions,1.25,1,2,1.5,1.5,0.5,0.7071068,2
429,Functions,0,0,0,0,0,0,0,3
430,Functions,0,0,0,0,0,0,0,2
431,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
432,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
433,Functions,1.5,0,4,2.333333,3,4.333333,2.081666,3
434,Functions,1,0,4,2,2,8,2.828427,2
435,Functions,0.75,0,4,2,2,2.857143,1.690309,8
436,Functions,1,0,4,2.111111,3,2.611111,1.615893,9
437,Functions,0.5,0,4,1.857143,1,3.142857,1.772811,7
438,Functions,1,0,11,4.2,4,18.7,4.32435,5
439,Functions,2,2,2,2,2,0,0,2
440,Functions,2.25,1,6,3.5,3.5,12.5,3.535534,2
441,Functions,-1,-1,-1,-1,-1,0,0,2
442,Functions,1,0,15,4.235294,4,18.94118,4.352146,17
443,Functions,-0.75,-4,6,0.4,0,7.155556,2.674987,10
444,Functions,-1.25,-4,2,-0.5,0,3.428571,1.85164,8
445,Functions,0.5,0,3,1.333333,1,2.333333,1.527525,3
446,Functions,0,0,0,0,0,0,0,2
447,Functions,1,1,1,1,1,0,0,2
448,Functions,-1,-1,0,-0.6,-1,0.3,0.5477226,5
449,Functions,-1,-1,-1,-1,-1,0,0,2
450,Functions,2,0,7,3.285714,4,5.238095,2.288689,7
451,Functions,0,-3,17,1.355932,1,9.922852,3.150056,59
452,Functions,0,-1,5,1,0,2.875,1.695582,17
453,Functions,0,0,5,2,1.5,6,2.44949,4
454,Functions,0.5,0,2,1,1,2,1.414214,2
455,Functions,-3.5,-4,1,-2,-3,7,2.645751,3
456,Functions,0,0,9,3,0,27,5.196152,3
457,Functions,0,0,0,0,0,0,0,2
458,Functions,0,-1,41,2.166667,0.5,47.68571,6.905484,36
459,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
460,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
461,Functions,-1,-4,4,0.375,0,7.125,2.66927,8
462,Functions,0,-2,11,0.9130435,0,7.173913,2.678416,23
463,Functions,0,-5,26,0.2310345,0,4.441248,2.107427,290
464,Functions,0,0,2,0.6666667,0,1.333333,1.154701,3
465,Functions,0.25,0,1,0.5,0.5,0.5,0.7071068,2
466,Functions,0,0,1,0.5,0.5,0.3333333,0.5773503,4
467,Functions,1.25,1,7,3.5,2.5,7.9,2.810694,6
468,Functions,0,-2,9,0.8666667,0,3.774713,1.942862,30
469,Functions,0,0,0,0,0,0,0,2
470,Functions,-0.75,-1,0,-0.5,-0.5,0.5,0.7071068,2
471,Functions,0,-5,4,0.4516129,0,2.122581,1.456908,31
472,Functions,0,0,0,0,0,0,0,2
473,Functions,1,1,1,1,1,0,0,2
474,Functions,-1.5,-2,0,-1,-1,2,1.414214,2
475,Functions,-3,-6,0,-2,0,12,3.464102,3
476,Functions,0,0,6,1.5,0,9,3,4
477,Functions,1.5,1,2,1.666667,2,0.3333333,0.5773503,3
478,Functions,0,0,2,0.75,0.5,0.9166667,0.9574271,4
