X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
1720,Blocks,12.25,0,49,24.5,24.5,1200.5,34.64823,2
1721,Blocks,6,6,6,6,6,0,0,2
1722,Blocks,4,3,7,5,5,8,2.828427,2
1723,Blocks,1,1,1,1,1,0,0,2
1724,Blocks,9.5,8,14,11,11,18,4.242641,2
1725,Blocks,0.5,0,2,1,1,2,1.414214,2
1726,Blocks,0,0,0,0,0,0,0,2
1727,Blocks,1.75,1,4,2.5,2.5,4.5,2.12132,2
1728,Blocks,0,0,2,0.6666667,0,1.333333,1.154701,3
1729,Blocks,0,0,0,0,0,0,0,2
1730,Blocks,0.25,-3,10,3.5,3.5,84.5,9.192388,2
1731,Blocks,4.5,4,6,5,5,2,1.414214,2
1732,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1733,Blocks,4,4,4,4,4,0,0,2
1734,Blocks,2,2,2,2,2,0,0,2
1735,Blocks,1,1,1,1,1,0,0,2
1736,Blocks,2.25,2,3,2.5,2.5,0.5,0.7071068,2
1737,Blocks,0,0,3,1.090909,0,2.290909,1.513575,11
1738,Blocks,6,6,6,6,6,0,0,2
1739,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2
1740,Blocks,7,7,7,7,7,0,0,2
1741,Blocks,6,6,6,6,6,0,0,2
1742,Blocks,12.25,0,49,24.5,24.5,1200.5,34.64823,2
1743,Blocks,1.5,0,6,3,3,18,4.242641,2
1744,Blocks,0,0,0,0,0,0,0,2
1745,Blocks,0.5,0,2,1,1,2,1.414214,2
1746,Blocks,1,1,1,1,1,0,0,2
1747,Blocks,3,3,3,3,3,0,0,2
1748,Blocks,0,0,0,0,0,0,0,2
1749,Blocks,0,0,0,0,0,0,0,2
1750,Blocks,0,0,0,0,0,0,0,3
1751,Blocks,0,0,0,0,0,0,0,2
1752,Blocks,2,2,2,2,2,0,0,2
1753,Blocks,6,2,18,10,10,128,11.31371,2
1754,Blocks,0,0,0,0,0,0,0,2
1755,Blocks,1,1,1,1,1,0,0,2
1756,Blocks,1,1,1,1,1,0,0,2
1757,Blocks,1,1,1,1,1,0,0,2
1758,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1759,Blocks,0,0,0,0,0,0,0,2
1760,Blocks,2,2,2,2,2,0,0,2
1761,Blocks,1,1,1,1,1,0,0,2
1762,Blocks,-1,-1,-1,-1,-1,0,0,2
1763,Blocks,0,0,0,0,0,0,0,3
1764,Blocks,1,0,2,1.333333,2,1.333333,1.154701,3
1765,Blocks,-1.5,-2,0,-1,-1,2,1.414214,2
1766,Blocks,0,0,0,0,0,0,0,2
1767,Blocks,2.5,2,4,3,3,2,1.414214,2
1768,Blocks,0,0,0,0,0,0,0,2
1769,Blocks,-2,-2,-2,-2,-2,0,0,3
1770,Blocks,-2,-2,-2,-2,-2,0,0,3
1771,Blocks,-1,-1,-1,-1,-1,0,0,2
1772,Blocks,0,0,2,0.6666667,0,1.333333,1.154701,3
1773,Blocks,0,0,0,0,0,0,0,2
1774,Blocks,0,0,0,0,0,0,0,2
1775,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1776,Blocks,1,1,1,1,1,0,0,3
1777,Blocks,0,0,0,0,0,0,0,2
1778,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2
1779,Blocks,0,0,0,0,0,0,0,2
1780,Blocks,0,0,0,0,0,0,0,2
1781,Blocks,-1,-1,-1,-1,-1,0,0,2
1782,Blocks,0,0,0,0,0,0,0,2
