PostId,ClassType,NoOfLines,Similarity,CodeChar
26557659,1,11,70,259
25775856,1,11,70,463
39082816,1,11,70,222
36937169,1,11,70,411
10884461,1,11,70,313
32010603,1,11,70,350
17111944,1,11,70,305
45078700,1,11,70,295
15969592,1,11,70,211
4689670,1,11,70,255
26443952,1,11,70,255
28502132,1,11,70,416
31139383,1,11,70,673
43956250,1,11,70,379
43956250,1,11,70,375
340748,1,11,70,246
5217598,1,11,70,399
12492315,1,11,70,377
33305023,1,11,70,232
22249573,1,11,70,426
12926146,1,11,70,332
7132275,1,11,70,448
7433228,1,11,70,196
33209764,1,11,70,473
33209764,1,11,70,469
18990871,1,11,70,295
7456227,1,11,70,341
10760495,1,11,70,233
9290487,1,11,70,413
14249566,1,11,70,254
12492315,1,11,70,392
7281045,1,11,70,258
26956009,1,11,70,440
8880111,1,11,70,373
20575244,1,11,70,357
10437590,1,11,70,497
6740829,1,11,70,408
37995023,1,11,70,341
28239699,1,11,70,365
12404712,1,11,70,369
5825290,1,11,70,291
19347741,1,11,70,529
16673210,1,11,70,755
30549290,1,11,70,440
35187482,1,11,70,379
16657479,1,11,70,398
8330428,1,11,70,299
14082563,1,11,70,540
3548733,1,11,70,433
21727293,1,11,70,312
51265829,1,11,70,369
2502938,1,11,70,221
52566490,1,11,70,217
47762213,1,11,70,395
9357585,1,11,70,286
16762085,1,11,70,307
24925565,1,11,70,194
47806925,1,11,70,415
12454507,1,11,70,352
10705240,1,11,70,295
7647431,1,11,70,236
4745419,1,11,70,262
42781934,1,11,70,622
15944707,1,11,70,216
7524423,1,11,70,390
8436306,1,11,70,235
10310241,1,11,70,272
38468125,1,11,70,348
834743,1,11,70,434
5668496,1,11,70,244
31104800,1,11,70,314
19732510,1,11,70,444
5825290,1,11,70,422
26507906,1,11,70,378
41091420,1,11,70,409
4443878,1,11,70,493
31955208,1,11,70,200
44400966,1,11,70,229
6054561,1,11,70,261
22888771,1,11,70,468
21064702,1,11,70,298
21064702,1,11,70,264
2523721,1,11,70,283
29335113,1,11,70,485
38628281,1,11,70,461
52797019,1,11,70,741
27689637,1,11,70,394
28821674,1,11,70,229
11355339,1,11,70,237
14610522,1,11,70,355
6479995,1,11,70,340
9394801,1,11,70,417
52744113,1,11,70,310
16017777,1,11,70,241
34862018,1,11,70,266
35351261,1,11,70,259
5693392,1,11,70,356
7487095,1,11,70,311
23736305,1,11,70,298
28108022,1,11,70,360
8838988,1,11,70,363
32477489,1,11,70,318
15937682,1,11,70,280
16762085,1,11,70,273
16138837,1,11,70,272
10553855,1,11,70,241
20693191,1,11,70,372
51743831,1,11,70,311
17133620,1,11,70,378
9872356,1,11,70,226
15937682,1,11,70,318
52112709,1,11,70,264
43788700,1,11,70,177
9231598,1,11,70,341
5611387,1,11,70,206
13404172,1,11,70,568
16427315,1,11,70,604
36785985,1,11,70,617
23211800,1,11,70,476
32047232,1,11,70,413
30659735,1,11,70,318
33586757,1,11,70,274
33754630,1,11,70,244
25092903,1,11,70,250
8547764,1,11,70,216
38508966,1,11,70,180
6039994,1,11,70,466
1759135,1,11,70,172
13586067,1,11,70,355
45576876,1,11,70,444
47762213,1,11,70,361
30590031,1,11,70,286
6831421,1,11,70,265
25612277,1,11,70,382
40875762,1,11,70,223
802898,1,11,70,307
18087638,1,11,70,410
19732510,1,11,70,462
32814788,1,11,70,277
32814788,1,11,70,282
23951001,1,11,70,279
3236070,1,11,70,306
5660390,1,11,70,252
3236070,1,11,70,327
15648683,1,11,70,237
22251299,1,11,70,397
8254149,1,11,70,424
3236070,1,11,70,313
3236070,1,11,70,298
3236070,1,11,70,324
3236070,1,11,70,313
3236070,1,11,70,319
13344985,1,11,70,444
3236070,1,11,70,309
30017372,1,11,70,279
50952959,1,11,70,345
12043185,1,11,70,321
45001060,1,11,70,309
52785904,1,11,70,190
45001060,1,11,70,336
11474743,1,11,70,217
6608829,1,11,70,301
11474743,1,11,70,208
45001060,1,11,70,294
53410100,1,11,70,362
669979,1,11,70,218
1621075,1,11,70,430
9719079,1,11,70,219
39622511,1,11,70,372
6834338,1,11,70,175
35650627,1,11,70,329
50543961,1,11,70,185
11803591,1,11,70,251
29197149,1,11,70,296
29462948,1,11,70,316
52227218,1,11,70,500
7970470,1,11,70,339
24687021,1,11,70,525
38800027,1,11,70,261
6655743,1,11,70,198
41321239,1,11,70,390
37512662,1,11,70,382
